id,name,host_id,host_name,neighbou_1,latitude,longitude,room_type,price,minimum_ni
"52189016",A11 - GULCH 4BR/4BA Bach Haven w/ Killer Rooftop,"132613025",Tyler,District 17,36.143760000000000,-86.784829999999999,Entire home/apt,"270","2"
"52189699",**BRAND NEW LUXURY HOME IN EAST NASH | CLOSE TO TOP GOLF | ***,"367489105",McKenzie,District 5,36.179710000000000,-86.758039999999994,Entire home/apt,"274","1"
"52189703",**SOPHISTICATED LUXURY HOME IN EAST NASH | CLOSE TO TOP GOLF | ***,"367489105",McKenzie,District 5,36.178930000000001,-86.757540000000006,Entire home/apt,"300","1"
"52205381",Lyric | Music City Crush | Rooftop Deck | All-Suite,"106505883",TurnKey Vacation Rentals,District 5,36.201259999999998,-86.754360000000005,Entire home/apt,"345","2"
"52214483",Homey place just for you | 1BR in Nashville,"368944610",,District 19,36.154159999999997,-86.782619999999994,Entire home/apt,"218","90"
"52217673",New Condo-2 miles to Broadway-Pool-FREE Parking,"57897798",Julie,District 21,36.159910000000004,-86.807180000000002,Entire home/apt,"132","2"
"52219665",New! Conveniently located in a quiet neighborhood,"50603927",Rachel,District 7,36.252560000000003,-86.707430000000002,Entire home/apt,"194","7"
"52222507","Luxury Home, walking distance to broadway & gulch","297144613",Asia,District 19,36.154229999999998,-86.776579999999996,Entire home/apt,"167","1"
"52223485",Lovely 1 bedroom apt w/ pool. 3 blocks from dwntn,"76323449",Elizabeth,District 19,36.154350000000001,-86.774360000000001,Entire home/apt,"166","2"
"52224429",3 bedroom home minutes from Broadway,"119795957",Mike,District 8,36.220599999999997,-86.736710000000002,Entire home/apt,"128","30"
"52233340",Music City Home 2 Miles to Broadway,"335977682",Allen,District 21,36.155679999999997,-86.819680000000005,Entire home/apt,"156","2"
"52236691",Restoration Hardware in City Heights Nashville,"161316384",Wayne,District 21,36.157640000000001,-86.816670000000002,Entire home/apt,"99","30"
"52236778",Lovely 1 bedroom rental unit - The Gulch,"422850864",Abigail,District 19,36.149650000000001,-86.779049999999998,Entire home/apt,"200","3"
"52244104",king bed?6mi to dtwn?4mi to airport?shopping?,"407199764",Chase,District 15,36.156050000000000,-86.689570000000003,Entire home/apt,"145","1"
"52255565",East Nashville Ranch Home Close to Downtown,"66389726",Matt,District 5,36.191859999999998,-86.759680000000003,Entire home/apt,"290","2"
"52260250",Newly Renovated 2 Bdr + Huge Deck + Home Office,"51624911",Bobby,District 1,36.227020000000003,-86.833709999999996,Entire home/apt,"127","30"
"52261251",AMAZING ROOFTOP VIEWS?HIGH END FINISHES?9 BEDS,"115505661",Chris,District 21,36.153840000000002,-86.818160000000006,Entire home/apt,"220","2"
"52261586",Murphy Manor? Walk to Shops?Food?Coffee?Brewery?,"31549142",Brandon,District 5,36.203370000000000,-86.743369999999999,Entire home/apt,"194","2"
"52265415","Lovely apartment, King bed, swimming pool, & gym","381128243",Dona,District 19,36.169269999999997,-86.783670000000001,Entire home/apt,"85","1"
"52266274","Hard Rock Hideaway, Recording Studio & Roof Deck","106505883",TurnKey Vacation Rentals,District 5,36.200629999999997,-86.754369999999994,Entire home/apt,"345","2"
"52277191",Elmhurst ~Amazing Views ~7 Beds~Minutes from Broadway~Private Deck~?FREE EARLY CHECK-IN/OUT DEC-FEB?,"260899725",Kevin,District 5,36.195777999999997,-86.773544000000001,Entire home/apt,"182","3"
"52279592",SUPER LUXURY HOME ?  MAX SPACE ?  GORGEOUS DECOR,"101426897",Host Extraordinaires,District 5,36.179349999999999,-86.757080000000002,Entire home/apt,"309","2"
"52280444",519 Music City~Luxury + Mural + 360 ROOFTOP views!,"128131927",Vickie,District 21,36.155459999999998,-86.819370000000006,Entire home/apt,"271","1"
"52283440",Luxury Stay | Two Massive Homes | 5 Min from Dwntn,"1618127",Teddy,District 17,36.145789999999998,-86.784229999999994,Entire home/apt,"1008","2"
