"GEO_ID","NAME","H1_001N","H1_002N","H1_003N"
"id","Geographic Area Name"," !!Total:"," !!Total:!!Occupied"," !!Total:!!Vacant"
"1000000US470370101061011","Block 1011, Block Group 1, Census Tract 101.06, Davidson County, Tennessee","0","0","0"
"1000000US470370101061012","Block 1012, Block Group 1, Census Tract 101.06, Davidson County, Tennessee","0","0","0"
"1000000US470370101061013","Block 1013, Block Group 1, Census Tract 101.06, Davidson County, Tennessee","150","145","5"
"1000000US470370101061014","Block 1014, Block Group 1, Census Tract 101.06, Davidson County, Tennessee","33","33","0"
"1000000US470370101061015","Block 1015, Block Group 1, Census Tract 101.06, Davidson County, Tennessee","2","2","0"
"1000000US470370101061016","Block 1016, Block Group 1, Census Tract 101.06, Davidson County, Tennessee","9","9","0"
"1000000US470370101061017","Block 1017, Block Group 1, Census Tract 101.06, Davidson County, Tennessee","0","0","0"
"1000000US470370101061018","Block 1018, Block Group 1, Census Tract 101.06, Davidson County, Tennessee","69","69","0"
"1000000US470370101061019","Block 1019, Block Group 1, Census Tract 101.06, Davidson County, Tennessee","109","109","0"
"1000000US470370101061020","Block 1020, Block Group 1, Census Tract 101.06, Davidson County, Tennessee","25","25","0"
"1000000US470370101061021","Block 1021, Block Group 1, Census Tract 101.06, Davidson County, Tennessee","24","24","0"
"1000000US470370101061022","Block 1022, Block Group 1, Census Tract 101.06, Davidson County, Tennessee","3","0","3"
"1000000US470370101061023","Block 1023, Block Group 1, Census Tract 101.06, Davidson County, Tennessee","11","5","6"
"1000000US470370101062000","Block 2000, Block Group 2, Census Tract 101.06, Davidson County, Tennessee","0","0","0"
"1000000US470370101062001","Block 2001, Block Group 2, Census Tract 101.06, Davidson County, Tennessee","0","0","0"
"1000000US470370101062002","Block 2002, Block Group 2, Census Tract 101.06, Davidson County, Tennessee","0","0","0"
"1000000US470370101062003","Block 2003, Block Group 2, Census Tract 101.06, Davidson County, Tennessee","119","119","0"
"1000000US470370101062004","Block 2004, Block Group 2, Census Tract 101.06, Davidson County, Tennessee","27","27","0"
"1000000US470370101062005","Block 2005, Block Group 2, Census Tract 101.06, Davidson County, Tennessee","0","0","0"
"1000000US470370101062006","Block 2006, Block Group 2, Census Tract 101.06, Davidson County, Tennessee","0","0","0"
"1000000US470370101062007","Block 2007, Block Group 2, Census Tract 101.06, Davidson County, Tennessee","0","0","0"
"1000000US470370101062008","Block 2008, Block Group 2, Census Tract 101.06, Davidson County, Tennessee","25","18","7"
"1000000US470370101062009","Block 2009, Block Group 2, Census Tract 101.06, Davidson County, Tennessee","0","0","0"
"1000000US470370101062010","Block 2010, Block Group 2, Census Tract 101.06, Davidson County, Tennessee","0","0","0"
"1000000US470370101062011","Block 2011, Block Group 2, Census Tract 101.06, Davidson County, Tennessee","136","136","0"
"1000000US470370101062012","Block 2012, Block Group 2, Census Tract 101.06, Davidson County, Tennessee","40","40","0"
"1000000US470370101062013","Block 2013, Block Group 2, Census Tract 101.06, Davidson County, Tennessee","23","23","0"
"1000000US470370101062014","Block 2014, Block Group 2, Census Tract 101.06, Davidson County, Tennessee","39","39","0"
"1000000US470370101062015","Block 2015, Block Group 2, Census Tract 101.06, Davidson County, Tennessee","23","23","0"
"1000000US470370101062016","Block 2016, Block Group 2, Census Tract 101.06, Davidson County, Tennessee","41","41","0"
"1000000US470370101062017","Block 2017, Block Group 2, Census Tract 101.06, Davidson County, Tennessee","13","13","0"
"1000000US470370101062018","Block 2018, Block Group 2, Census Tract 101.06, Davidson County, Tennessee","22","22","0"
"1000000US470370101062019","Block 2019, Block Group 2, Census Tract 101.06, Davidson County, Tennessee","5","5","0"
"1000000US470370101062020","Block 2020, Block Group 2, Census Tract 101.06, Davidson County, Tennessee","27","27","0"
"1000000US470370101062021","Block 2021, Block Group 2, Census Tract 101.06, Davidson County, Tennessee","0","0","0"
"1000000US470370101062022","Block 2022, Block Group 2, Census Tract 101.06, Davidson County, Tennessee","0","0","0"
"1000000US470370101062023","Block 2023, Block Group 2, Census Tract 101.06, Davidson County, Tennessee","0","0","0"
"1000000US470370102011000","Block 1000, Block Group 1, Census Tract 102.01, Davidson County, Tennessee","181","174","7"
"1000000US470370102011001","Block 1001, Block Group 1, Census Tract 102.01, Davidson County, Tennessee","0","0","0"
"1000000US470370102011002","Block 1002, Block Group 1, Census Tract 102.01, Davidson County, Tennessee","4","4","0"
"1000000US470370102011003","Block 1003, Block Group 1, Census Tract 102.01, Davidson County, Tennessee","22","22","0"
"1000000US470370102011004","Block 1004, Block Group 1, Census Tract 102.01, Davidson County, Tennessee","177","128","49"
"1000000US470370102011005","Block 1005, Block Group 1, Census Tract 102.01, Davidson County, Tennessee","19","17","2"
"1000000US470370102011006","Block 1006, Block Group 1, Census Tract 102.01, Davidson County, Tennessee","45","45","0"
"1000000US470370102011007","Block 1007, Block Group 1, Census Tract 102.01, Davidson County, Tennessee","1","1","0"
"1000000US470370102011008","Block 1008, Block Group 1, Census Tract 102.01, Davidson County, Tennessee","1","1","0"
"1000000US470370102011009","Block 1009, Block Group 1, Census Tract 102.01, Davidson County, Tennessee","21","14","7"
"1000000US470370102011010","Block 1010, Block Group 1, Census Tract 102.01, Davidson County, Tennessee","121","121","0"
"1000000US470370102011011","Block 1011, Block Group 1, Census Tract 102.01, Davidson County, Tennessee","7","7","0"
"1000000US470370102011012","Block 1012, Block Group 1, Census Tract 102.01, Davidson County, Tennessee","28","24","4"
"1000000US470370102011013","Block 1013, Block Group 1, Census Tract 102.01, Davidson County, Tennessee","34","34","0"
"1000000US470370102011014","Block 1014, Block Group 1, Census Tract 102.01, Davidson County, Tennessee","89","85","4"
"1000000US470370102011015","Block 1015, Block Group 1, Census Tract 102.01, Davidson County, Tennessee","0","0","0"
"1000000US470370102011016","Block 1016, Block Group 1, Census Tract 102.01, Davidson County, Tennessee","1","1","0"
"1000000US470370102011017","Block 1017, Block Group 1, Census Tract 102.01, Davidson County, Tennessee","4","1","3"
"1000000US470370102011018","Block 1018, Block Group 1, Census Tract 102.01, Davidson County, Tennessee","2","0","2"
"1000000US470370102011019","Block 1019, Block Group 1, Census Tract 102.01, Davidson County, Tennessee","1","1","0"
"1000000US470370102011020","Block 1020, Block Group 1, Census Tract 102.01, Davidson County, Tennessee","0","0","0"
"1000000US470370102011021","Block 1021, Block Group 1, Census Tract 102.01, Davidson County, Tennessee","0","0","0"
"1000000US470370102011022","Block 1022, Block Group 1, Census Tract 102.01, Davidson County, Tennessee","40","33","7"
"1000000US470370102011023","Block 1023, Block Group 1, Census Tract 102.01, Davidson County, Tennessee","60","60","0"
"1000000US470370102011024","Block 1024, Block Group 1, Census Tract 102.01, Davidson County, Tennessee","40","34","6"
"1000000US470370102011025","Block 1025, Block Group 1, Census Tract 102.01, Davidson County, Tennessee","17","17","0"
"1000000US470370102011026","Block 1026, Block Group 1, Census Tract 102.01, Davidson County, Tennessee","41","41","0"
"1000000US470370102012000","Block 2000, Block Group 2, Census Tract 102.01, Davidson County, Tennessee","135","126","9"
"1000000US470370102012001","Block 2001, Block Group 2, Census Tract 102.01, Davidson County, Tennessee","1","0","1"
"1000000US470370102012002","Block 2002, Block Group 2, Census Tract 102.01, Davidson County, Tennessee","71","69","2"
"1000000US470370102012003","Block 2003, Block Group 2, Census Tract 102.01, Davidson County, Tennessee","23","23","0"
